f0,f1,f2,f3,f4,f5,f6,f7,f8,f9,f10,f11,f12,f13,f14,f15,f16,f17,f18,f19,f20,f21,f22,f23,f24,class
6.463,11.832,6.252,11.843,15.553,2.348,3.659,14.682,13.462,13.629,-20.629,-10.172,0.516,0.586,-9.729,-4.729,-13.527,-9.875,1.396,4.261,-19.838,23.661,0.243,6.28,D,C
26.537,9.189,20.819,17.22,1.817,3.261,4.338,13.484,5.934,21.649,-6.701,2.941,9.059,2.227,-0.783,4.217,9.793,5.449,1.811,9.793,-2.389,8.504,0.461,5.201,E,G
12.005,13.52,13.809,14.825,11.167,2.995,5.06,9.666,11.736,6.98,-2.674,4.624,8.624,0.62,0.925,5.925,-7.673,-4.107,1.347,-7.673,-1.569,3.017,0.668,5.246,F,D
13.182,9.662,13.104,12.805,12.475,1.312,3.005,31.17,9.884,21.105,-1.171,-3.6,13.056,2.676,-2.126,2.874,-30.118,-17.69,8.762,-1.171,-9.634,4.924,1.334,8.988,I,J
27.16,5.751,21.706,15.589,6.519,1.172,3.059,8.071,10.229,16.087,-7.208,-5.449,4.914,1.774,-4.406,0.594,-16.987,-9.437,4.149,2.474,-15.422,15.142,0.523,3.394,D,A
7.873,10.778,7.357,10.023,14.134,0.123,4.095,13.884,8.987,17.328,-16.302,-2.487,3.325,1.054,-5.445,-0.445,-7.357,-15.925,5.016,-16.302,-15.856,0.059,9.19,0.799,H,G
26.934,9.143,21.316,2.155,14.865,1.729,3.488,14.953,9.505,14.194,4.298,-5.279,5.281,1.93,2.649,4.901,-5.165,-13.967,5.222,-16.576,-13.897,0.877,2.44,4.285,I,E
8.632,12.995,7.33,13.503,8.829,2.367,1.122,15.844,5.983,20.532,-4.059,1.892,14.35,2.892,-0.56,4.44,-15.728,-18.524,0.935,-9.735,-13.492,1.456,0.801,0.904,C,B
19.581,9.013,21.973,7.121,10.518,1.502,4.323,8.82,9.058,16.351,3.656,-5.848,4.279,1.866,2.328,-1.37,-18.967,-27.225,4.747,-14.398,-21.829,4.051,1.082,5.884,G,J
9.541,11.789,6.25,18.471,6.165,2.75,4.56,14.35,10.597,16.168,-6.47,-1.813,0.983,0.664,-2.706,2.294,4.488,-2.542,3.728,4.488,-7.442,8.241,0.673,8.79,G,A
16.505,9.163,19.382,10.617,15.848,1.979,5.807,15.979,15.12,16.712,15.13,-2.368,5.472,3.013,8.065,-0.431,-13.22,-14.969,0.462,-4.39,-22.548,15.475,0.173,0.049,A,F
10.619,13.532,14.922,17.296,6.749,3.764,4.81,11.23,8.123,15.997,-6.103,-14.146,1.742,1.159,-7.753,-2.753,-11.659,-22.884,7.521,-6.103,-8.735,0.854,2.968,8.252,J,H
12.684,10.222,13.038,17.113,1.292,3.334,4.611,24.555,5.022,21.974,-9.209,5.378,6.593,1.599,-0.395,4.605,-15.328,-16.754,0.341,-9.209,-18.223,5.413,0.251,5.346,D,J
12.831,9.709,20.608,12.926,11.842,1.596,5.123,23.095,9.89,19.995,3.2,-2.854,8.736,1.82,2.1,7.78,-8.788,-14.651,2.839,-16.098,-17.295,0.262,3.293,4.3,I,E
8.341,15.955,17.408,15.601,4.887,3.438,1.564,21.178,4.072,21.869,-7.113,1.642,5.652,1.442,-1.428,3.572,-0.902,-2.108,0.265,-7.113,-5.19,0.534,0.704,7.541,G,A
7.665,10.538,8.755,13.22,6.253,3.208,2.836,31.33,8.493,21.515,-1.367,0,13.863,2.81,-0.675,4.325,-17.646,-6.298,7.646,29.938,-11.147,52.669,0.381,5.171,D,I
8.854,9.322,12.842,15.19,7.543,2.486,3.115,8.562,10.755,6.056,0.052,-9.05,-5.478,0.684,-4.091,0.909,6.62,-17.681,23.959,0.052,-18.283,15.702,1.235,4.354,G,C
14.334,12.639,13.034,5.928,15.965,3.442,5.408,15.981,13.791,14.922,-12.976,-1.99,1.006,1.125,-4.407,0.593,7.808,-2.889,6.997,7.808,-24.205,36.226,0.439,7.35,F,G
10.741,12.789,17.902,11.13,15.986,2.204,5.077,8.052,13.562,8.823,-14.448,-5.839,0.061,1.403,-6.378,-1.378,-11.56,-13.322,0.468,-0.843,-22.306,19.886,0.153,9.511,D,C
9.749,12.987,14.72,15.884,2.105,3.514,0.156,7.262,10.916,9.699,-9.538,16.351,20.351,0.657,4.095,9.095,-20.09,-10.945,5.531,-9.538,-16.28,3.501,1.257,9.45,I,A
12.671,14.034,17.363,11.022,9.844,3.479,0.414,7.253,13.515,8.572,-0.659,3.229,7.229,0.659,0.847,5.847,10.21,-13.221,22.684,-0.659,-16.077,12.108,1.369,8.188,I,F
16.818,9.522,19.084,15.881,9.534,2.753,3.612,14.479,10.383,17.382,1.276,-0.354,5.05,1.755,-0.162,4.838,3.6,2.452,0.246,3.6,1.336,0.681,0.601,5.47,F,D
9.095,11.778,14.896,16.709,2.401,1.942,3.055,22.095,5.491,19.78,-9.448,-9.847,15.296,3.049,-6.798,-1.798,7.472,-7.967,12.133,-9.448,-2.18,3.919,1.76,8.134,I,B
28.117,4.246,19.036,5.712,18.747,2.46,5.632,21.549,6.927,21.434,14.636,-2.642,11.753,2.964,7.818,10.294,-19.188,-12.324,3.597,-3.947,-7.079,1.108,1.802,3.276,G,G
10.164,12.044,14.68,10.213,12.236,1.246,4.016,6.248,10.054,9.067,-2.992,-2.658,-2.925,0.713,-2.189,2.811,-2.526,-1.955,0.086,-2.992,-2.193,0.143,0.777,0.477,B,D
14.942,9.279,13.164,12.479,9.887,2.765,0.559,29.611,9.874,19.195,0.23,3.057,11.203,2.367,0.998,5.998,1.934,-9.2,7.431,0.23,-24.074,23.963,0.557,8.475,G,E
8.742,8.557,17.325,4.499,18.587,3.537,4.934,8.112,10.152,8.942,-3.501,-6.334,-3.988,1.15,-1.251,4.583,-4.764,-14.988,6.538,-13.723,-12.95,0.136,6.941,2.336,I,F
19.575,6.275,19.005,4.823,16.521,3.021,4.456,16.276,6.626,19.513,14.872,-4.51,12.117,2.987,7.936,10.598,3.72,-9.036,9.112,-16.657,-19.048,0.74,3.509,0.142,B,G
29.082,9.116,20.676,6.904,13.918,2.41,5.451,6.438,10.405,8.129,2.946,-9.632,-9.608,1.795,1.973,-6.119,9.149,-16.052,25.301,-1.083,-6.157,2.286,3.327,8.054,J,J
11.149,10.15,12.174,12.39,10.293,3.67,3.878,15.064,11.166,16.786,-16.39,7.962,0.731,0.817,-1.113,3.887,-5.12,-12.969,4.398,-16.39,-14.005,0.736,2.444,3.684,H,B
8.318,12.093,7.559,15.65,11.32,3.88,5.851,12.825,12.35,12.863,-1.813,-6.232,4.261,1.21,-3.383,1.617,-8.804,-14.835,2.962,-1.813,-5.29,1.297,1.511,8.655,I,I
6.948,12.129,6.498,15.179,8.945,1.065,5.441,28.186,7.495,21.538,0.761,-9.53,5.675,1.446,-4.114,0.886,0.097,-9.547,5.99,0.761,0.426,0.039,12.429,9.335,J,C
21.451,9.46,21.353,13.008,12.581,0.35,5.128,15.55,14.884,12.969,0.255,-5.163,1.852,1.657,-2.421,2.579,24.267,9.699,11.121,24.267,-19.059,57.037,0.442,4.787,E,A
8.959,13.473,8.347,5.936,18.938,3.893,2.414,18.528,5.506,19.417,8.44,7.064,9.484,2.081,6.236,8.404,5.032,-14.308,17.011,-5.247,-23.223,15.243,1.056,0.393,B,B
9.256,13.759,9.717,10.146,14.591,3.562,3.77,9.519,14.234,17.281,-12.432,14.419,3.813,1.135,2.567,7.567,2.347,4.387,0.583,2.347,-9.473,8.127,0.268,0.169,A,G
15.766,4.703,19.681,15.363,6.01,3.939,2.367,9.924,10.411,7.822,-7.463,4.309,8.309,1.939,-0.404,4.596,2.94,-15.385,15.688,-7.463,-2.607,2.14,2.707,6.876,I,H
7.054,13.514,6.735,12.076,7.297,3.217,5.163,14.151,11.093,15.612,-4.809,0.352,2.214,0.869,-1.389,3.611,-8.482,-15.713,3.889,-4.809,-6.618,0.487,2.827,9.701,J,J
6.016,11.99,7.571,11.129,5.759,2.702,3.104,10.514,15.422,14.352,-0.396,-4.052,1.133,0.689,-2.121,2.879,0.629,0.08,0.081,-0.396,-0.425,0.001,9.126,8.287,J,J
6.632,11.047,6.018,2.924,17.9,0.922,4.143,10.453,14.988,12.106,10.353,-1.581,5.297,1.383,1.596,4.914,13.53,-7.198,18.873,-15.714,-26.647,7.23,1.616,8.757,I,I
13.525,5.937,21.995,11.946,7.316,2.726,4.936,6.961,10.745,6.188,-0.918,-7.175,-6.083,1.572,-3.553,1.447,2.437,-0.305,0.908,2.437,-1.837,1.767,0.717,9.274,H,D
19.509,5.681,21.752,3.908,15.601,0.782,3.822,31.108,7.25,20.273,5.826,-13.487,9.655,2.083,3.413,8.546,3.111,-15.35,15.864,-5.234,-20.874,12.371,1.132,0.9,C,F
27.19,7.06,19.039,11.294,13.302,3.717,4.851,15.835,7.511,20.096,0.082,7.009,7.076,1.508,0.541,6.397,-0.436,-11.797,7.659,-18.141,-7.919,6.536,1.082,8.635,H,G
18.239,8.643,21.727,2.218,14.555,2.256,2.617,14.53,7.387,19.638,9.261,4.205,10.897,2.426,5.13,9.58,8.597,-11.304,17.756,-7.935,-21.17,9.63,1.358,0.815,C,B
7.568,13.164,6.86,11.615,10.518,1.806,5.912,8.482,12.432,16.51,-23.486,-1.335,3.214,1.036,-6.761,-1.761,8.141,6.852,0.293,8.141,-7.196,12.012,0.156,7.531,C,G
13.975,8.243,12.076,6.883,14.966,3.264,1.113,13.79,11.504,17.781,-3.034,5.79,2.856,1.197,1.812,6.812,4.588,-1.953,3.345,4.588,-12.341,13.931,0.49,8.831,F,J
18.032,7.909,20.777,3.886,16.509,3.027,3.814,9.28,10.826,7.667,1.476,-4.289,-2.695,1.648,1.238,4.648,-7.393,-5.123,0.684,-7.393,-15.33,4.472,0.391,8.793,F,H
10.255,12.713,16.057,17.078,4.935,1.208,3.358,7.713,12.726,7.425,-7.355,-5.675,-3.696,1.309,-4.537,0.463,12.391,-16.488,31.039,-7.355,-0.24,3.795,2.86,2.353,H,A
9.802,12.133,9.177,2.512,17.383,2.542,3.663,16.847,5.779,20.465,2.586,-8.371,8.964,1.994,-3.175,7.97,-6.468,-15.406,5.344,1.423,-14.654,12.894,0.644,0.41,B,A
11.487,9.449,15.339,1.171,14.439,3.899,3.132,18.514,8.947,20.499,-7.62,-6.362,16.813,3.302,-3.31,14.511,8.009,-6.993,11.621,-20.441,-24.435,1.597,2.698,4.044,I,A
12.849,9.698,16.144,14.856,7.798,1.602,5.408,14.604,14.948,14.776,0.711,-14.841,3.554,0.579,-6.339,-1.339,-9.23,-14.839,2.656,0.711,-4.346,2.274,1.081,4.497,G,F
10.631,14.939,13.269,13.17,12.977,0.435,5.115,8.041,12.074,8.243,-4.681,-17.541,-9.299,1.026,-8.812,-3.812,-5.973,-14.466,4.95,-4.681,-5.327,0.104,6.911,7.29,J,B
24.725,9.584,19.459,17.571,5.039,3.62,3.692,13.88,14.875,16.168,-5.138,-8.484,0.606,2.531,-5.153,-0.153,5.341,-11.569,13.908,-5.138,-0.546,1.968,2.659,2.919,H,A
15.216,7.919,19.082,2.523,14.527,3.058,3.233,14.783,10.102,13.769,6.113,-10.233,3.044,2.111,3.557,3.037,7.647,-18.547,26.813,0.873,-21.217,20.766,1.136,6.196,H,A
24.996,4.892,19.632,16.354,4.43,2.565,3.873,31.456,4.514,19.752,-9.027,-3.332,5.946,1.488,-3.979,1.021,13.853,-11.545,25.599,-9.027,-0.959,4.584,2.363,5.082,I,G
21.793,9.394,21.473,10.328,12.158,2.845,5.077,26.289,6.885,21.173,1.398,-3.814,10.119,1.629,-1.573,3.427,-13.571,-13.901,0.038,1.398,-11.08,8.816,0.066,3.665,B,A
29.925,9.688,19.489,6.455,12.084,2.434,1.041,8.625,10.275,8.078,5.978,7.564,11.564,2.098,3.489,2.761,-20.618,-7.564,9.433,5.661,-33.251,48.548,0.441,9.76,F,C
6.329,10.946,7.083,12.568,12.493,3.449,2.205,7.257,10.412,8.499,-13.109,1.957,5.957,-0.085,-2.795,2.205,-15.696,-19.836,1.685,-13.109,-23.363,6.567,0.507,4.095,E,F
15.23,4.67,21.187,10.563,10.105,2.019,4.187,29.765,5.988,19.893,1.376,9.606,12.404,1.638,1.188,10.837,7.045,-3.138,6.499,7.045,-25.15,36.535,0.422,0.903,B,C
8.84,11.246,17.436,10.156,14.185,3.224,5.533,15.536,8.115,13.967,-18.438,5.633,5.537,0.678,-2.596,2.404,6.531,-18.67,25.301,0.357,-7.714,4.586,2.349,0.212,B,H
9.614,8.829,15.493,10.611,9.282,3.703,3.14,15.648,8.848,20.27,-0.079,-8.124,10.048,2.175,-3.738,1.262,-4.503,-15.309,7.105,-0.079,-2.357,0.687,3.215,9.555,J,I
8.406,12.565,6.475,2.677,14.439,3.854,1.252,16.996,9.215,20.587,20.587,14.352,5.907,1.484,6.472,5.422,6.219,7.236,0.205,6.219,-22.229,30.347,0.082,2.012,A,A
6.675,12.007,9.086,2.453,16.35,3.593,5.342,13.397,8.047,13.47,4.649,4.789,2.479,0.913,0.792,5.792,4.03,-12.137,13.002,-9.088,-29.1,17.904,0.852,0.762,C,D
9.288,10.23,9.075,15.546,9.42,3.499,4.794,12.88,8.308,19.19,-4.849,3.275,8.51,1.918,-0.181,4.819,-10.622,-6.956,1.404,-10.622,-4.198,3.256,0.657,7.616,G,F
14.448,11.817,16.287,10.321,14.794,3.401,5.542,9.667,11.347,7.927,-20.151,1.063,5.063,1.087,-4.928,0.072,-5.755,-3.372,0.736,-5.755,-8.528,0.923,0.893,6.743,G,J
21.842,4.813,20.161,18.353,6.916,1.407,5.236,26.639,5.387,20.145,-9.966,-2.297,7.053,1.781,-3.782,1.218,-15.655,-14.806,0.156,-9.966,-18.839,5.286,0.172,9.965,D,C
9.397,10.228,9.338,8.146,11.015,3.638,5.067,30.473,7.626,21.401,-16.765,9.268,6.241,1.54,-0.663,5.701,3.816,-15.54,17.031,-4.521,-8.971,1.877,3.012,8.794,J,E
9.943,11.089,9.583,8.645,11.912,2.084,2.036,26.581,6.991,20.268,-11.827,2.017,8.007,1.835,-2.449,7.173,-8.713,-4.509,1.724,-8.713,-5.861,0.963,1.338,8.401,I,B
15.425,11.796,14.514,5.573,14.473,3.989,3.298,29.06,4.563,19.543,-1.291,6.718,6.775,1.629,2.359,6.146,-2.715,-14.507,8.099,-11.788,-15.143,1.229,2.567,0.977,E,E
14.875,8.789,13.236,13.46,12.289,2.129,4.301,25.273,4.97,19.808,-3.429,-0.13,9.233,2.039,-1.245,3.755,-9.312,-14.483,2.351,-3.429,-6.313,0.979,1.549,9.486,I,J
9.072,11.701,9.775,14.474,11.004,3.804,4.274,6.269,11.827,8.043,-3.069,-6.596,-0.781,0.224,-3.849,1.151,11.916,7.767,1.69,11.916,-16.098,29.655,0.239,0.916,B,G
8.608,12.518,6.247,9.413,11.627,1.16,5.823,10.935,15.813,15.708,-16.494,-5.617,2.04,0.84,-6.797,-1.797,-7.968,-18.923,7.252,-3.815,-16.309,8.832,0.906,4.745,F,H
9.745,12.26,6.875,18.14,2.144,3.96,0.161,10.176,8.052,17.062,-6.222,2.355,2.222,0.87,-0.908,4.092,-14.275,-8.428,2.828,8.319,-15.927,23.877,0.344,6.056,E,D
19.818,4.196,21.424,18.478,1.516,3.201,4.2,9.722,10.399,6.423,-6.425,-14.651,-5.318,1.57,-8.044,-3.044,-5.046,-2.793,0.676,-6.425,-3.492,1.005,0.821,4.033,F,A
11.103,14.12,13.172,4.324,16.072,3.808,2.145,14.433,13.655,14.097,-3.764,3.961,2.939,1.124,1.775,6.775,-8.017,-5.288,0.902,-8.017,-17.808,6.127,0.384,3.789,D,G
8.11,13.185,12.051,3.645,17.86,1.75,5.459,25.42,6.888,21.386,-7.78,-6.967,13.9,2.817,-3.39,12.083,-12.215,-10.801,0.336,3.315,-8.034,7.647,0.21,9.553,D,I
15.752,15.355,13.477,16.716,6.439,0.575,5.683,9.679,15.464,16.226,-6.552,-4.571,4.384,1.304,-3.876,1.124,-19.161,-13.515,2.683,-6.552,-14.154,4.192,0.8,0.392,B,B
11.328,12.772,14.782,15.381,5.802,3.208,2.739,31.781,9.566,20.47,-1.755,-0.535,7.09,1.682,-0.995,4.005,-6.398,-6.392,0,-6.398,-4.095,0.699,0.011,8.049,A,C
13.782,8.401,21.417,16.203,1.184,3.42,5.209,9.483,10.297,15.46,-6.074,12.33,0.579,2.097,3.286,8.286,-5.436,-4.163,0.287,-6.074,-4.482,0.402,0.846,8.26,H,F
8.689,13.66,7.932,5.761,17,3.08,4.319,25.803,9.713,20.693,12.665,9.599,9.787,2.131,2.686,8.656,-8.503,-6.518,0.56,-8.503,-12.637,1.681,0.577,0.18,A,C
12.31,4.964,19.69,1.261,15.257,3.088,4.653,9.935,12.803,8.951,11.693,9.088,4.007,2.669,6.347,7.623,-2.949,-13.402,6.759,-14.137,-13.919,0.02,18.269,0.432,H,A
25.56,9.303,21.692,12.9,5.602,2.935,4.593,15.561,12.789,16.501,-3.094,0.969,1.714,1.509,-0.703,4.297,2.229,-24.341,27.392,-3.094,-18.119,11.649,1.533,4.649,H,H
9.298,12.246,9.95,15.479,5.869,2.287,2.257,6.793,13.14,8.837,-9.287,4.917,8.917,0.234,-0.606,4.394,4.679,-2.002,3.454,4.679,-8.368,9.425,0.605,3.089,D,F
6.65,12.676,8.311,12.381,6.008,2.803,4.641,12.478,14.994,15.267,-2.268,2.71,1.321,0.72,0.229,5.229,4.276,4.005,0.028,4.276,-17.779,20.715,0.037,0.445,A,C
7.674,10.591,6.916,5.483,10.791,3.814,3.154,15.802,8.929,20.782,-12.76,0.853,6.111,1.518,-3.168,5.592,-6.675,-17.884,7.506,-12.76,-17.409,2.005,1.935,0.756,D,D
7.382,12.568,7.939,5.634,16.077,0.185,5.372,9.163,12.012,8.166,24.122,-3.576,-7.829,-0.456,4.207,9.207,-11.128,-9.339,0.478,-11.128,-10.188,0.182,1.621,2.652,F,J
10.634,8.536,14.382,6.065,14.899,3.895,2.664,9.109,10.993,6.584,-8.316,6.361,9.876,0.668,3.932,8.932,2.528,-12.054,11.136,-10.428,-20.724,6.607,1.298,9.879,I,J
11.886,9.248,17.468,2.365,18.915,0.874,4.703,31.657,6.335,19.533,-1.32,-7.486,20.33,3.888,-0.16,17.442,9.413,-11.231,18.76,-7.74,-24.749,14.03,1.156,8.548,H,G
10.338,9.486,15.638,15.425,9.006,0.786,5.628,8.139,8.106,15.055,1.626,-10.25,1.626,0.852,-4.198,0.802,6.429,4.841,0.4,6.429,-24.166,33.846,0.109,2.36,B,E
12.54,14.327,15.458,4.34,18.759,3.104,3.643,18.41,4.554,20.457,-2.777,4.738,8.5,1.917,2.418,7.583,3.611,-7.669,7.576,-26.488,-27.391,0.172,6.643,0.458,E,C
7.909,11.214,6.907,1.801,17.655,2.375,0.423,7.669,10.285,7.022,3.569,4.141,7.558,0.516,2.042,7.042,-25.394,-11.805,10.02,-4.576,-7.747,1.129,2.978,3.211,H,B
16.097,4.953,19.244,3.183,15.612,2.729,4.681,30.574,7.995,21.536,-0.215,-1.257,11.53,1.479,0.393,10.109,-20.312,-14.493,2.807,-7.396,-5.914,0.361,2.788,6.752,J,G
6.506,12.58,8.546,17.769,4.519,2.523,2.753,26.881,6.734,20.692,-5.538,3.998,7.004,1.667,-0.052,4.948,-10.963,-19.89,5.334,-5.538,-8.133,0.836,2.526,0.775,D,J
8.069,12.426,7.063,5.63,10.192,2.236,4.863,9.668,12.853,9.622,-21.195,-6.716,-6.061,-0.561,-8.43,-3.43,1.909,-4.211,3.028,1.909,-16.382,15.646,0.44,8.194,F,B
13.126,11.384,12.49,14.191,10.013,3.268,3.357,9.985,11.604,17.242,-2.282,-0.13,4.346,0.961,-0.958,4.042,2.183,4.923,0.907,2.183,-15.192,14.484,0.25,0.134,A,C
11.662,10.38,17.265,11.426,14.283,3.509,1.288,31.362,4.824,21.399,-18.093,5.14,9.983,2.164,-2.715,8.819,-16.82,-9.782,3.735,1.781,-27.67,31.966,0.342,8.172,E,C
16.197,6.919,19.073,17.724,1.764,3.031,0.445,13.803,6.449,21.113,-5.103,13.029,12.604,1.857,3.82,8.82,-20.843,-25.398,1.944,-5.103,-12.734,4.215,0.679,0.752,B,G
8.615,12.076,7.664,5.686,12.629,3.759,4.722,10.322,12.999,13.034,-26.71,1.873,1.905,0.817,-6.231,-1.231,-10.685,-13.859,1.131,-0.862,-16.034,11.819,0.309,9.945,E,F
6.187,11.902,6.578,15.848,3.601,2.617,4.631,7.492,12.462,8.161,-6.754,0.785,4.785,0.439,-1.695,3.305,14.043,-1.346,12.074,14.043,-8.266,21.074,0.757,8.406,G,B
28.15,5.741,20.985,11.05,10.502,2.445,0.351,30.077,8.702,21.461,1.114,9.92,9.381,1.765,4.078,9.078,-24.143,-23.588,0.083,1.114,-8.83,6.271,0.115,0.058,A,B
7.281,12.635,7.479,2.695,15.067,3.936,4.507,30.686,7.066,20.849,3.339,4.004,5.862,1.477,0.18,5.385,-14.228,-21.329,3.784,-10.812,-9.962,0.157,4.914,8.827,J,F
10.921,11.338,14.582,5.373,16.552,3.529,0.789,15.697,13.104,15.292,-6.347,4.355,5.478,0.865,2.38,7.38,-9.977,-6.912,1.073,-9.977,-15.918,2.896,0.609,9.033,G,E
8.112,10.187,7.163,10.169,7.445,3.212,5.337,6.831,11.233,9.669,-3.053,-11.464,-4.677,0.1,-5.873,-0.873,-14.575,-17.06,0.784,-7.612,-13.273,2.694,0.539,4.009,E,D
11.645,14.365,17.253,7.279,12.539,1.951,5.751,7.752,11.095,8.756,-18.513,-10.074,-4.712,1.267,-9.159,-4.159,3.514,5.081,0.392,3.514,-7.591,7.401,0.23,5.809,D,A
9.257,12.478,9.948,5.177,11.71,2.565,2.05,9.175,15.905,15.153,-12.505,0.203,3.935,1.156,-3.375,1.625,-10.544,-12.431,0.519,1.652,-23.579,25.347,0.143,2.084,B,J
11.367,10.507,17.619,15.677,6.297,2.258,5.922,8.114,13.73,6.589,-7.009,0.517,4.517,1.11,-1.87,3.13,4.943,5.43,0.068,4.943,-1.369,3.171,0.146,8.33,D,G
6.005,12.014,9.53,3.422,14.117,1.407,3.311,23.754,7.368,19.63,9.193,-7.976,13.624,2.771,-1.358,11.853,7.572,-3.119,6.992,7.572,-9.281,13.837,0.711,2.562,D,I
13.454,8.018,20.207,13.773,8.898,3.037,4.698,14.801,11.852,16.647,-4.636,-9.632,1.897,2.732,-5.506,-0.506,-16.695,-9.277,4.041,3.064,-13.534,13.525,0.547,4.86,E,F
21.377,5.791,20.152,11.559,8.759,2.51,5.798,29.912,5.951,20.254,-3.039,-9.487,16.658,2.298,-5.046,-0.046,2.998,3.088,0.005,2.998,-17.384,18.404,0.017,0.591,A,A
7.017,12.75,8.812,4.213,17.058,3.761,4.359,9.014,10.925,8.458,4.419,-9.51,-1.943,0.343,-3.191,1.809,-16.41,-10.036,3.219,1.479,-8.854,6.643,0.696,2.645,D,C
8.952,11.182,6.854,4.382,17.439,2.032,3.709,6.061,11.368,7.433,2.584,-7.412,-0.524,0.018,-2.776,2.224,0.471,-11.53,8.314,-13.63,-23.246,5.964,1.181,0.813,C,A
24.685,8.052,19.188,13.409,5.856,2.744,0.679,15.733,4.125,20.62,-3.292,3.933,11.503,2.464,0.482,5.482,-5.244,-16.72,7.775,-3.292,-4.272,0.194,6.331,0.816,G,F
31.694,7.326,19.883,18.558,4.253,2.892,1.559,26.291,5.729,20.088,-8.929,-0.748,9.464,2.842,-2.877,2.123,5.257,-11.443,13.648,-8.929,-2.535,3.233,2.055,9.8,J,I
14.768,6.941,19.316,15.808,7.951,3.925,1.735,8.825,12.843,6.821,-4.655,5.278,9.278,3.033,0.702,5.702,7.783,-14.627,21.218,-4.655,-13.675,5.418,1.979,6.63,I,B
6.712,13.006,6.54,9.213,13.009,3.98,5.231,14.444,15.931,12.692,-21.043,-5.063,4.558,1.26,-7.704,-2.704,9.722,-11.466,19.505,-7.234,-6.571,0.108,13.428,3.283,J,G
12.39,12.496,15.821,6.003,14.319,1.372,4.799,8.125,11.61,9.932,-1.063,-9.043,-1.908,1.394,-0.032,3.527,-5.291,-3.763,0.378,-5.291,-14.751,5.819,0.255,9.105,E,F
21.96,4.145,21.108,10.578,10.333,3.956,4.954,8.489,12.675,9.907,0.083,-5.673,-2.087,1.833,-2.676,2.324,-5.217,-18.649,9.845,0.083,-2.651,0.904,3.3,8.358,J,H
12.992,5.523,21.752,11.493,10.638,1.223,3.722,22.91,5.46,21.385,-1.726,-6.549,7.947,1.601,-3.494,1.506,-15.21,-14.489,0.122,-5.094,-12.149,3.748,0.181,3.895,C,I
8.32,13.692,8.193,13.096,11.243,2.778,5.995,28.054,8.238,20.721,1.52,0.587,10.674,2.279,0.291,5.291,-3.706,-1.569,0.625,1.52,1.125,0.05,3.546,0.684,E,A
13.055,13.7,15.947,16.387,2.937,0.182,4.983,9.047,15.886,17.391,-7.795,-13.322,2.53,1.067,-7.833,-2.833,-14.981,-15.782,0.143,-7.795,-16.983,5.57,0.16,4.493,C,A
26.721,4.102,21.803,18.475,3.648,1.305,5.51,8.343,13.5,9.215,-10.52,-2.788,-8.662,1.696,-4.125,0.875,-12.222,-23.939,8.022,-10.52,-24.159,10.074,0.892,0.445,B,G
9.981,11.492,15.315,11.242,10.63,3.373,3.864,30.114,9.613,20.478,-1.639,0.424,9.141,2.023,-0.566,4.434,-9.894,-16.47,3.373,-1.639,-5.704,1.639,1.434,4.034,G,C
13.039,12.151,14.1,5.983,13.42,3.697,3.884,9.868,9.722,17.636,-14.52,-4.02,1.403,0.708,-5.638,-0.638,-11.084,-10.496,0.09,-11.084,-19.736,5.09,0.133,3.74,B,J
9.102,10.066,9.239,4.236,15.361,2.364,0.842,9.242,13.043,8.002,5.611,5.367,7.77,-0.197,2.64,7.64,-5.124,-2.277,0.961,-5.124,-19.905,11.365,0.291,4.346,D,B
26.369,4.265,20.623,6.656,15.074,1.935,5.749,29.664,5.546,19.424,3.814,-4.682,7.656,1.881,2.407,6.88,-14.362,-18.884,1.923,-28.426,-8.399,17.925,0.328,8.229,E,B
8.4,12.17,9.005,12.046,9.62,3.53,2.546,13.265,4.863,20.583,-3.963,4.033,6.188,1.531,0.356,5.356,5.409,-19.828,25.357,-3.963,-15.157,7.49,1.84,5.364,H,G
30.53,5.484,19.605,13.241,10.975,3.748,2.096,8.604,11.473,6.154,-2.662,-0.095,3.905,1.601,-1.038,3.962,1.488,-1.215,0.889,-2.662,-3.165,0.071,3.53,6.977,J,H
11.197,9.904,15.257,13.598,11.578,3.01,4.547,27.982,7.768,21.255,-2.897,-5.173,7.057,1.676,-3.213,1.787,-18.495,-23.933,2.537,-2.897,-11.829,5.339,0.689,4.597,F,I
9.419,12.389,9.077,16.407,2.82,2.429,5.745,12.159,5.856,20.836,-7.811,2.446,6.154,1.526,-1.267,3.733,5.072,4.982,0.005,5.072,-2.102,3.843,0.038,0.138,A,H
7.886,10.668,6.365,14.628,5.872,3.64,4.632,21.29,8.412,21.212,-4.388,-16.261,13.167,2.694,-8.206,-3.206,2.515,-3.722,3.115,2.515,-6.862,5.743,0.737,5.726,F,E
10.655,14.819,12.816,1.398,18.442,3.576,5.058,23.887,8.774,20.571,-8.969,5.447,16.708,3.285,4.406,14.423,-22.07,-8.828,9.638,1.613,-7.343,5.36,1.341,7.467,H,I
9.899,12.789,7.374,12.177,10.296,1.032,3.593,12.852,12.293,12.631,-39.787,-1.569,2.598,0.933,-10.934,-5.934,-9.17,-8.793,0.046,-9.17,-14.042,2.151,0.147,8.757,D,E
11.987,11.321,12.445,16.399,1.847,3.751,1.898,30.464,5.382,20.907,-8.91,5.102,7.318,1.72,-0.435,4.565,-18.195,-13.644,1.942,-8.91,-16.397,4.097,0.688,4.87,F,C
